Id,Location,CoverType,StartDate ,EndDate,PolicyTenure,NetPremium,Action,VehicleType,Status
5000294,Kilifi,PRIVATE TOR,18-Dec-23,17-Jan-24,1,0,EXTEND,PRIVATE,NOT ACTIVE 
5000295,Kilifi,PRIVATE TPO,16-Dec-23,15-Dec-24,1,3500,EXTEND,PRIVATE,ACTIVE
5000296,Kilifi,PSV TPO TAXI,11-Mar-20,10-Mar-25,1,4387,EXTEND,COMMERCIAL,ACTIVE
5000297,Kilifi,COMMERCIAL TOR OWN GOODS,9-Mar-20,8-Apr-24,5,750,EXTEND,COMMERCIAL,ACTIVE
5000298,Kilifi,PRIVATE COMPREHENSIVE,8-Mar-20,7-Mar-25,4,5201,EXTEND,PRIVATE,ACTIVE
5000299,Kilifi,PRIVATE TOR,8-Mar-20,7-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000300,Kilifi,PRIVATE TOR,6-Mar-20,5-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000301,Kilifi,PRIVATE TOR,5-Mar-20,4-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000302,Kilifi,PRIVATE TPO,7-Mar-20,6-Mar-25,4,0,EXTEND,PRIVATE,NOT ACTIVE 
5000303,Kilifi,PRIVATE TOR,5-Mar-20,4-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000304,Kilifi,PRIVATE TOR,6-Mar-20,5-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000305,Kilifi,PRIVATE TOR,5-Mar-20,4-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000306,Kilifi,PRIVATE TOR,5-Mar-20,4-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000307,Kilifi,COMMERCIAL TPO OWN GOODS,6-May-20,5-May-24,4,4150,EXTEND,COMMERCIAL,ACTIVE
5000308,Kilifi,PRIVATE TOR,4-Mar-20,3-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000309,Kilifi,PRIVATE COMPREHENSIVE,4-Mar-20,3-Mar-25,4,32048,EXTEND,PRIVATE,ACTIVE
5000310,Kilifi,COMMERCIAL TPO OWN GOODS,4-Mar-20,3-Mar-25,5,6899,EXTEND,COMMERCIAL,ACTIVE
5000311,Kilifi,PRIVATE  TOR,4-Mar-20,3-Apr-24,5,750,EXTEND,PRIVATE,ACTIVE
5000312,Kilifi,PRIVATE TOR,3-Mar-20,2-Apr-24,4,750,EXTEND,PRIVATE,ACTIVE
5000313,Kilifi,COMMERCIAL TORINSTITUTION VEHICLE,4-Mar-20,3-Apr-24,4,0,EXTEND,COMMERCIAL,NOT ACTIVE 
